t_wall,fid,pts,seq
1755744906.579679,0,0.0,0
1755744906.5876799,1,0.03336666666666667,1
1755744906.5876799,2,0.06673333333333334,2
1755744906.7396793,3,0.10010000000000001,3
1755744906.7396793,4,0.13346666666666668,4
1755744906.740679,5,0.16683333333333333,5
1755744906.89168,6,0.20020000000000002,6
1755744906.89168,7,0.23356666666666667,7
1755744906.89168,8,0.26693333333333336,8
1755744908.0936785,9,0.3003,9
1755744908.0936785,10,0.33366666666666667,10
1755744908.203679,11,0.3670333333333334,11
1755744908.203679,12,0.40040000000000003,12
1755744908.3106802,13,0.4337666666666667,13
1755744908.3106802,14,0.46713333333333334,14
1755744908.418679,15,0.5005000000000001,15
1755744908.4196792,16,0.5338666666666667,16
1755744908.5496798,17,0.5672333333333334,17
1755744908.550679,18,0.6006,18
1755744908.550679,19,0.6339666666666667,19
1755744908.6527426,20,0.6673333333333333,20
1755744908.653736,21,0.7007,21
1755744908.653736,22,0.7340666666666668,22
